Date,Day,Lane,Date_Time,Time,Minimum,Mean,Maximum,Lane_Pts_num,Oberserved_percent
3/5/23,Sunday,Lane1,3/5/23 0:00,0:00:00,30.37,30.37,30.37,318,38.7
3/5/23,Sunday,Lane1,3/5/23 0:05,0:05:00,30.4,30.4,30.4,318,39.3
3/5/23,Sunday,Lane1,3/5/23 0:10,0:10:00,30.45,30.45,30.45,317,39.1
3/5/23,Sunday,Lane1,3/5/23 0:15,0:15:00,30.52,30.52,30.52,317,38.8
3/5/23,Sunday,Lane1,3/5/23 0:20,0:20:00,30.4,30.4,30.4,318,39.3
3/5/23,Sunday,Lane1,3/5/23 0:25,0:25:00,30.32,30.32,30.32,318,39
3/5/23,Sunday,Lane1,3/5/23 0:30,0:30:00,30.35,30.35,30.35,317,39.1
3/5/23,Sunday,Lane1,3/5/23 0:35,0:35:00,30.35,30.35,30.35,318,39
3/5/23,Sunday,Lane1,3/5/23 0:40,0:40:00,30.45,30.45,30.45,318,39
3/5/23,Sunday,Lane1,3/5/23 0:45,0:45:00,30.33,30.33,30.33,318,39
3/5/23,Sunday,Lane1,3/5/23 0:50,0:50:00,30.3,30.3,30.3,318,39
3/5/23,Sunday,Lane1,3/5/23 0:55,0:55:00,30.28,30.28,30.28,318,39
3/5/23,Sunday,Lane1,3/5/23 1:00,1:00:00,30.38,30.38,30.38,318,39
3/5/23,Sunday,Lane1,3/5/23 1:05,1:05:00,30.37,30.37,30.37,317,39.1
3/5/23,Sunday,Lane1,3/5/23 1:10,1:10:00,30.38,30.38,30.38,318,38.7
3/5/23,Sunday,Lane1,3/5/23 1:15,1:15:00,30.35,30.35,30.35,317,39.1
3/5/23,Sunday,Lane1,3/5/23 1:20,1:20:00,30.35,30.35,30.35,317,39.1
3/5/23,Sunday,Lane1,3/5/23 1:25,1:25:00,30.45,30.45,30.45,318,39
3/5/23,Sunday,Lane1,3/5/23 1:30,1:30:00,30.02,30.02,30.02,318,39
3/5/23,Sunday,Lane1,3/5/23 1:35,1:35:00,29.98,29.98,29.98,316,38.6
3/5/23,Sunday,Lane1,3/5/23 1:40,1:40:00,29.92,29.92,29.92,316,38.6
3/5/23,Sunday,Lane1,3/5/23 1:45,1:45:00,29.9,29.9,29.9,317,38.2
3/5/23,Sunday,Lane1,3/5/23 1:50,1:50:00,29.95,29.95,29.95,317,38.8
3/5/23,Sunday,Lane1,3/5/23 1:55,1:55:00,29.97,29.97,29.97,316,38.9
3/5/23,Sunday,Lane1,3/5/23 2:00,2:00:00,30,30,30,317,38.8
3/5/23,Sunday,Lane1,3/5/23 2:05,2:05:00,29.98,29.98,29.98,317,38.8
3/5/23,Sunday,Lane1,3/5/23 2:10,2:10:00,29.95,29.95,29.95,317,38.5
3/5/23,Sunday,Lane1,3/5/23 2:15,2:15:00,29.93,29.93,29.93,316,38.3
3/5/23,Sunday,Lane1,3/5/23 2:20,2:20:00,29.9,29.9,29.9,316,38
3/5/23,Sunday,Lane1,3/5/23 2:25,2:25:00,29.85,29.85,29.85,317,38.5
3/5/23,Sunday,Lane1,3/5/23 2:30,2:30:00,29.88,29.88,29.88,316,38.3
3/5/23,Sunday,Lane1,3/5/23 2:35,2:35:00,29.98,29.98,29.98,316,38.3
3/5/23,Sunday,Lane1,3/5/23 2:40,2:40:00,30.03,30.03,30.03,318,39
3/5/23,Sunday,Lane1,3/5/23 2:45,2:45:00,29.97,29.97,29.97,317,38.5
3/5/23,Sunday,Lane1,3/5/23 2:50,2:50:00,29.92,29.92,29.92,317,38.5
3/5/23,Sunday,Lane1,3/5/23 2:55,2:55:00,29.9,29.9,29.9,317,38.5
3/5/23,Sunday,Lane1,3/5/23 3:00,3:00:00,29.92,29.92,29.92,317,38.5
3/5/23,Sunday,Lane1,3/5/23 3:05,3:05:00,29.93,29.93,29.93,316,38.3
3/5/23,Sunday,Lane1,3/5/23 3:10,3:10:00,29.9,29.9,29.9,317,38.5
3/5/23,Sunday,Lane1,3/5/23 3:15,3:15:00,29.87,29.87,29.87,317,38.5
3/5/23,Sunday,Lane1,3/5/23 3:20,3:20:00,29.92,29.92,29.92,317,38.5
3/5/23,Sunday,Lane1,3/5/23 3:25,3:25:00,29.92,29.92,29.92,317,38.5
3/5/23,Sunday,Lane1,3/5/23 3:30,3:30:00,29.9,29.9,29.9,317,38.5
3/5/23,Sunday,Lane1,3/5/23 3:35,3:35:00,29.92,29.92,29.92,317,38.5
3/5/23,Sunday,Lane1,3/5/23 3:40,3:40:00,29.93,29.93,29.93,316,38.3
3/5/23,Sunday,Lane1,3/5/23 3:45,3:45:00,30.05,30.05,30.05,318,39
3/5/23,Sunday,Lane1,3/5/23 3:50,3:50:00,30,30,30,316,38.6
3/5/23,Sunday,Lane1,3/5/23 3:55,3:55:00,29.93,29.93,29.93,317,38.5
3/5/23,Sunday,Lane1,3/5/23 4:00,4:00:00,30,30,30,316,38.6
3/5/23,Sunday,Lane1,3/5/23 4:05,4:05:00,30.02,30.02,30.02,316,38.6
