Date,Day,Lane,Time,Minimum,Mean,Maximum,# Lane Pts,% Observed
3/5/23,Sunday,1,00:00,30.37,30.37,30.37,318.00,38.7
3/5/23,Sunday,1,00:05,30.40,30.40,30.40,318.00,39.3
3/5/23,Sunday,1,00:10,30.45,30.45,30.45,317.00,39.1
3/5/23,Sunday,1,00:15,30.52,30.52,30.52,317.00,38.8
3/5/23,Sunday,1,00:20,30.40,30.40,30.40,318.00,39.3
3/5/23,Sunday,1,00:25,30.32,30.32,30.32,318.00,39.0
3/5/23,Sunday,1,00:30,30.35,30.35,30.35,317.00,39.1
3/5/23,Sunday,1,00:35,30.35,30.35,30.35,318.00,39.0
3/5/23,Sunday,1,00:40,30.45,30.45,30.45,318.00,39.0
3/5/23,Sunday,1,00:45,30.33,30.33,30.33,318.00,39.0
3/5/23,Sunday,1,00:50,30.30,30.30,30.30,318.00,39.0
3/5/23,Sunday,1,00:55,30.28,30.28,30.28,318.00,39.0
3/5/23,Sunday,1,01:00,30.38,30.38,30.38,318.00,39.0
3/5/23,Sunday,1,01:05,30.37,30.37,30.37,317.00,39.1
3/5/23,Sunday,1,01:10,30.38,30.38,30.38,318.00,38.7
3/5/23,Sunday,1,01:15,30.35,30.35,30.35,317.00,39.1
3/5/23,Sunday,1,01:20,30.35,30.35,30.35,317.00,39.1
3/5/23,Sunday,1,01:25,30.45,30.45,30.45,318.00,39.0
3/5/23,Sunday,1,01:30,30.02,30.02,30.02,318.00,39.0
3/5/23,Sunday,1,01:35,29.98,29.98,29.98,316.00,38.6
3/5/23,Sunday,1,01:40,29.92,29.92,29.92,316.00,38.6
3/5/23,Sunday,1,01:45,29.90,29.90,29.90,317.00,38.2
3/5/23,Sunday,1,01:50,29.95,29.95,29.95,317.00,38.8
3/5/23,Sunday,1,01:55,29.97,29.97,29.97,316.00,38.9
3/5/23,Sunday,1,02:00,30.00,30.00,30.00,317.00,38.8
3/5/23,Sunday,1,02:05,29.98,29.98,29.98,317.00,38.8
3/5/23,Sunday,1,02:10,29.95,29.95,29.95,317.00,38.5
3/5/23,Sunday,1,02:15,29.93,29.93,29.93,316.00,38.3
3/5/23,Sunday,1,02:20,29.90,29.90,29.90,316.00,38.0
3/5/23,Sunday,1,02:25,29.85,29.85,29.85,317.00,38.5
3/5/23,Sunday,1,02:30,29.88,29.88,29.88,316.00,38.3
3/5/23,Sunday,1,02:35,29.98,29.98,29.98,316.00,38.3
3/5/23,Sunday,1,02:40,30.03,30.03,30.03,318.00,39.0
3/5/23,Sunday,1,02:45,29.97,29.97,29.97,317.00,38.5
3/5/23,Sunday,1,02:50,29.92,29.92,29.92,317.00,38.5
3/5/23,Sunday,1,02:55,29.90,29.90,29.90,317.00,38.5
3/5/23,Sunday,1,03:00,29.92,29.92,29.92,317.00,38.5
3/5/23,Sunday,1,03:05,29.93,29.93,29.93,316.00,38.3
3/5/23,Sunday,1,03:10,29.90,29.90,29.90,317.00,38.5
3/5/23,Sunday,1,03:15,29.87,29.87,29.87,317.00,38.5
3/5/23,Sunday,1,03:20,29.92,29.92,29.92,317.00,38.5
3/5/23,Sunday,1,03:25,29.92,29.92,29.92,317.00,38.5
3/5/23,Sunday,1,03:30,29.90,29.90,29.90,317.00,38.5
3/5/23,Sunday,1,03:35,29.92,29.92,29.92,317.00,38.5
3/5/23,Sunday,1,03:40,29.93,29.93,29.93,316.00,38.3
3/5/23,Sunday,1,03:45,30.05,30.05,30.05,318.00,39.0
3/5/23,Sunday,1,03:50,30.00,30.00,30.00,316.00,38.6
3/5/23,Sunday,1,03:55,29.93,29.93,29.93,317.00,38.5
3/5/23,Sunday,1,04:00,30.00,30.00,30.00,316.00,38.6
3/5/23,Sunday,1,04:05,30.02,30.02,30.02,316.00,38.6
3/5/23,Sunday,1,04:10,29.98,29.98,29.98,317.00,38.5
3/5/23,Sunday,1,04:15,29.97,29.97,29.97,317.00,38.5
3/5/23,Sunday,1,04:20,29.97,29.97,29.97,317.00,38.5
3/5/23,Sunday,1,04:25,29.92,29.92,29.92,316.00,38.6
3/5/23,Sunday,1,04:30,30.00,30.00,30.00,317.00,38.5
3/5/23,Sunday,1,04:35,30.02,30.02,30.02,318.00,39.0
3/5/23,Sunday,1,04:40,30.22,30.22,30.22,318.00,38.4
